pl_name,ra,dec,pl_bmasse
VHS J125601.92-125723.9 b,194.008964,-12.956031,13603.124
2MASS J12073346-3932539 b,181.8890906,-39.5484399,1271.0
GQ Lup b,237.3003643,-35.6515055,6356.0
PDS 70 c,212.0421402,-41.3980405,635.66
bet Pic b,86.8212337,-51.066148,6356.0
bet Pic c,86.8212337,-51.066148,3222.46222
2MASS J12073346-3932539 b,181.8890906,-39.5484399,1589.15
bet Pic c,86.8212337,-51.066148,2860.47
bet Pic b,86.8212337,-51.066148,3146.517
PDS 70 b,212.0421402,-41.3980405,
PDS 70 c,212.0421402,-41.3980405,3333.87385
TOI-5704 b,169.8248694,44.9890782,
HD 23472 d,55.4590314,-62.7672667,0.55
TOI-672 b,167.9908627,-39.3281151,
TOI-199 b,80.1058735,-59.8954326,54.03083
TOI-199 c,80.1058735,-59.8954326,88.99195
KELT-18 b,216.5238248,59.4442735,375.0394
TOI-2096 c,151.6186989,74.8272107,
HD 23472 c,55.4590314,-62.7672667,
TOI-3819 b,121.8632568,29.3886446,
Kepler-33 d,289.0775348,46.0051696,
HIP 5158 b,16.5094891,-22.4536134,451.0
HD 6718 b,16.9536005,-8.2336165,496.0
HD 149026 b,247.6229827,38.3475349,
HAT-P-2 b,245.1514324,41.0479601,
TOI-1710 b,94.2838373,76.21102,18.4
TOI-4791 b,109.3883818,-19.8289392,
TOI-4201 b,90.4747237,-13.461371,816.81901
TOI-4137 b,77.612879,70.391079,
TOI-4087 b,217.9257785,83.3727061,232.01474
HD 156846 b,260.1423366,-19.334365,3359.32
HD 132563 b,224.5892892,44.0428571,473.547
HD 137388 b,233.915082,-80.2044169,70.8731
WASP-80 b,303.1667996,-2.1444369,176.07
HAT-P-18 b,256.346376,33.0123251,58.16289
HD 23127 b,54.8491271,-60.077229,476.7
HD 189733 b,300.1821223,22.7097759,363.582
HD 20794 c,49.9997666,-43.0666533,2.4
HD 20794 d,49.9997666,-43.0666533,4.8
HD 189733 b,300.1821223,22.7097759,365.5045
HAT-P-18 b,256.346376,33.0123251,62.29468
WASP-80 b,303.1667996,-2.1444369,178.62046
HD 189733 b,300.1821223,22.7097759,
HD 189733 b,300.1821223,22.7097759,
HD 189733 b,300.1821223,22.7097759,369.303
WASP-80 b,303.1667996,-2.1444369,174.8
HD 189733 b,300.1821223,22.7097759,
LHS 1140 b,11.248632,-15.2741085,6.65
HD 20794 d,49.9997666,-43.0666533,3.52
HD 189733 b,300.1821223,22.7097759,
LHS 1140 b,11.248632,-15.2741085,6.98
HAT-P-18 b,256.346376,33.0123251,63.566
HD 189733 b,300.1821223,22.7097759,370.58978
HD 189733 b,300.1821223,22.7097759,
TOI-421 b,81.8532824,-14.2767404,7.17
HD 100655 b,173.7653631,20.441541,540.3
HD 155358 b,257.3930947,33.3549277,270.0
HD 79498 b,138.7885794,23.3748792,425.9
CHXR 73 b,166.6193985,-77.6258725,3994.486
HD 13189 b,32.4173964,32.3164548,4400.0
GJ 433 b,173.8619194,-32.5436302,5.79
HIP 5158 b,16.5094891,-22.4536134,457.6752
alf Ari b,31.793286,23.462421,572.07
tau Gem b,107.7847232,30.2449545,5752.48
HD 62509 b,116.328824,28.026127,920.0
Kepler-370 c,292.1710683,40.9162381,
Kepler-400 b,290.9444679,40.4800528,
Kepler-221 b,296.6547477,46.8352242,
Kepler-367 c,297.292558,49.9817499,
Kepler-393 c,290.995205,45.192188,
Kepler-304 c,294.4418031,40.5575408,
Kepler-360 b,286.2847077,44.7815817,
Kepler-101 c,283.255507,48.3552474,
Kepler-243 c,285.1104819,42.0339619,
Kepler-261 c,291.3647333,37.609239,
Kepler-327 d,292.6422963,44.0876251,
Kepler-136 b,296.4673039,42.5987984,
Kepler-122 d,291.1118647,39.9490248,
Kepler-157 c,291.0972257,38.8756049,
Kepler-147 c,287.9757213,39.087168,
Kepler-239 b,294.2020505,40.6633313,
Kepler-200 b,284.4099503,41.2374928,
Kepler-243 b,285.1104819,42.0339619,
Kepler-160 c,287.773573,42.8692755,
Kepler-254 b,288.1646541,45.8164257,
Kepler-172 c,283.3684093,41.821839,
Kepler-299 c,283.2070156,48.5805222,
Kepler-278 c,290.1072124,38.7022694,
Kepler-339 d,293.351701,48.4445922,
Kepler-397 b,295.8940373,42.3805156,
Kepler-399 b,299.5017242,40.6707669,
HD 219415 b,348.7243579,56.7303001,317.83
Pr0201 b,130.4324005,20.2268164,171.6282
HD 207832 b,328.1517893,-26.0271749,177.9848
HD 207832 c,328.1517893,-26.0271749,232.0159
HD 145457 b,242.5162215,26.7429068,921.668
HD 180314 b,288.7094401,31.8604391,6992.26
WASP-176 b,313.6872928,9.1790688,271.74465
kap CrB b,237.8080012,35.6558818,638.8383
HD 210702 b,332.9638643,16.0404806,626.1251
6 Lyn b,97.6960311,58.1611753,702.4043
kap CrB b,237.8080012,35.6558818,572.094
HD 167042 b,272.6326268,54.2876184,540.311
nu Oph b,269.7566013,-9.7741342,7627.92
75 Cet b,38.0391598,-1.0350269,953.49
omi UMa b,127.5649503,60.7177048,1303.103
HD 4732 b,12.3085089,-24.1369079,753.23
HD 99492 b,171.689687,3.0071331,34.6
TOI-1937 A b,116.3707214,-52.3832587,
HAT-P-2 b,245.1514324,41.0479601,2866.81223
TrES-5 b,305.2219454,59.4489033,
HAT-P-53 b,21.8711012,38.9681137,
TOI-1710 b,94.2838373,76.21102,
TOI-3235 b,207.4738488,-46.0665139,
HAT-P-2 b,245.1514324,41.0479601,2888.95
TOI-3235 b,207.4738488,-46.0665139,211.35589
TOI-4308 b,327.7530693,-43.5623642,
NGTS-17 b,72.9005729,-34.2262128,242.8209
TOI-1135 b,193.3963704,85.1294952,51.42
HAT-P-2 c,245.1514324,41.0479601,3400.76395
TOI-4137 b,77.612879,70.391079,457.67291
TOI-1710 b,94.2838373,76.21102,28.3
NGTS-25 b,307.4182976,-39.0323568,203.09235
NGTS-27 b,206.0265266,-32.5229747,188.47225
TOI-3912 b,215.8014956,24.0765639,129.03833
TOI-2842 b,108.0442066,-10.63934,
TOI-3984 A b,226.3371468,36.7869747,
TOI-2145 b,263.7580753,40.6950428,1767.0
WASP-4 b,353.5629149,-42.0617794,397.2875
TOI-2096 c,151.6186989,74.8272107,
WASP-4 b,353.5629149,-42.0617794,393.139
WASP-4 b,353.5629149,-42.0617794,393.15571
WASP-4 b,353.5629149,-42.0617794,368.36497
WASP-4 b,353.5629149,-42.0617794,409.68287
WASP-4 b,353.5629149,-42.0617794,375.0394
WASP-4 b,353.5629149,-42.0617794,371.8611
WASP-4 b,353.5629149,-42.0617794,376.94638
WASP-4 b,353.5629149,-42.0617794,
WASP-4 b,353.5629149,-42.0617794,
TOI-1693 b,90.3083455,34.7730904,
HD 149026 b,247.6229827,38.3475349,114.10097
TOI-3819 b,121.8632568,29.3886446,352.78953
TOI-1736 b,43.4344615,69.101345,11.9
KELT-12 b,267.6404906,36.5701761,
TOI-3331 A b,271.3241672,-34.107171,721.47048
TrES-5 b,305.2219454,59.4489033,
TOI-4201 b,90.4747237,-13.461371,825.0
TrES-5 b,305.2219454,59.4489033,565.078
TOI-3321 b,265.7603351,-65.0082516,
NGTS-1 b,82.7142134,-36.6309812,258.07796
HAT-P-2 b,245.1514324,41.0479601,2828.6
TOI-1288 c,313.1670294,65.6087833,85.7
NGTS-24 b,168.5638892,-37.9101328,165.27077
NGTS-9 b,141.9206435,-19.3476477,
HD 17156 b,42.4366123,71.7530882,
HD 149026 b,247.6229827,38.3475349,120.7754
TOI-3894 b,201.3748265,52.7681036,279.689
HD 17156 b,42.4366123,71.7530882,1115.5833
HD 149026 b,247.6229827,38.3475349,114.8
HD 213885 b,338.9837166,-59.864829,
NGTS-4 b,89.5988945,-30.8117992,20.6
TOI-3693 b,15.6543938,51.3038918,324.18498
TOI-1836 c,245.9079242,54.6900774,
TOI-3261 b,47.7285242,-73.531972,30.3
TOI-1736 c,43.4344615,69.101345,2477.0
NGTS-15 b,73.3553101,-32.8003484,238.68913
TOI-3919 b,208.9447534,40.3918061,1233.17422
TOI-3976 A b,224.3560083,44.2743223,55.61997
NGTS-4 b,89.5988945,-30.8117992,
NGTS-26 b,217.6832961,-31.7324526,92.80589
TOI-3894 b,201.3748265,52.7681036,260.61929
HD 104067 b,179.7923543,-20.3556058,64.51917
TOI-672 b,167.9908627,-39.3281151,
TOI-1180 b,214.5557741,82.1937642,
TOI-5293 A b,355.828682,-2.0450945,
HD 104067 c,179.7923543,-20.3556058,13.2
TOI-3023 b,165.3158231,-72.3567044,
TOI-4201 b,90.4747237,-13.461371,
TOI-5238 b,223.3588909,68.859472,
TOI-2803 A b,93.1147397,-23.4924956,309.8827
TOI-1288 b,313.1670294,65.6087833,44.1
TOI-5232 b,294.3374248,35.2764934,
HD 104067 b,179.7923543,-20.3556058,50.8528
TOI-1180 b,214.5557741,82.1937642,10.0
TOI-3894 b,201.3748265,52.7681036,
TOI-3082 b,195.9080719,-19.2189845,
TOI-1710 b,94.2838373,76.21102,22.4
HD 149026 b,247.6229827,38.3475349,102.97692
TOI-3785 b,130.9002258,63.0780768,14.95
TOI-4860 b,183.563961,-13.1748411,86.7
NGTS-3 A b,94.4447595,-35.706364,756.4354
HAT-P-2 b,245.1514324,41.0479601,3632.7969
XO-6 b,94.7929552,73.8275672,
TOI-5344 b,63.2662165,20.9151568,135.0
TOI-2977 b,143.9265177,-60.3574758,
TOI-1135 b,193.3963704,85.1294952,
KELT-12 b,267.6404906,36.5701761,
TOI-5344 b,63.2662165,20.9151568,130.9453
TOI-4145 A b,39.4297435,80.2673838,
HD 17156 b,42.4366123,71.7530882,
HD 104067 b,179.7923543,-20.3556058,62.1
HD 104067 b,179.7923543,-20.3556058,58.985
HD 207897 b,325.2016451,84.3337613,14.8
TOI-3331 A b,271.3241672,-34.107171,
NGTS-27 b,206.0265266,-32.5229747,
KELT-12 b,267.6404906,36.5701761,
HD 17156 b,42.4366123,71.7530882,1004.3428
NGTS-14 A b,328.5174799,-38.3774193,29.24036
TOI-1135 b,193.3963704,85.1294952,
TOI-2818 b,119.0598183,-35.1167104,225.65817
TrES-5 b,305.2219454,59.4489033,573.36532
NGTS-30 b,173.714867,-24.6054801,305.11527
TOI-2141 b,258.7623456,18.3403449,24.0
HD 207897 b,325.2016451,84.3337613,14.4
TOI-1288 b,313.1670294,65.6087833,42.0
HAT-P-2 b,245.1514324,41.0479601,2739.6946
TOI-5238 b,223.3588909,68.859472,
HAT-P-53 b,21.8711012,38.9681137,471.65972
TOI-1408 b,313.5110469,72.5806455,
NGTS-3 A b,94.4447595,-35.706364,
HAT-P-2 b,245.1514324,41.0479601,
TOI-4860 b,183.563961,-13.1748411,212.94503
TOI-3785 b,130.9002258,63.0780768,
HD 149026 b,247.6229827,38.3475349,
HAT-P-64 b,68.9743955,2.4312732,
HAT-P-2 b,245.1514324,41.0479601,2771.4776
BD-14 3065 b,153.6696689,-15.6428372,3932.0
HAT-P-2 b,245.1514324,41.0479601,2739.6946
NGTS-5 b,221.0582692,5.6053735,
TOI-3071 b,173.2790517,-56.5033871,68.2
HD 17156 b,42.4366123,71.7530882,1023.37
HAT-P-2 b,245.1514324,41.0479601,2777.8342
NGTS-2 b,215.1227617,-31.2020698,
HR 8799 b,346.8701486,21.1340376,
TOI-1669 b,45.9564744,83.5874273,191.0
HAT-P-64 b,68.9743955,2.4312732,184.34048
TOI-2145 b,263.7580753,40.6950428,1671.77742
NGTS-12 b,176.2499418,-35.640563,
TOI-1691 b,272.4041179,86.860343,14.6
